iter,time,reward,steps,convergence
1,0.0041105289999983086,-841.81,299.66,89.59
2,0.005402848999999321,-750.55,299.07,80.17999999999999
3,0.006619934999999799,-444.21,300.0,70.77
4,0.007820947999999106,-470.41,298.95,61.35999999999999
5,0.009022302999998288,-319.46,300.0,51.460147131543316
6,0.010185356999997452,-299.0,300.0,41.560154872525025
7,0.011332679999995321,-299.0,300.0,31.660154894340668
8,0.01247863599999377,-299.0,300.0,21.760154973002273
9,0.013613989999992526,-299.0,300.0,11.860155048032945
10,0.01478696099999155,-299.0,300.0,1.96015505439632
11,0.015864862999990237,-299.0,300.0,1.4701550592488104
12,0.016934215999988567,-299.0,300.0,0.9801550626220177
13,0.018045973999988973,-299.0,300.0,0.49015506571128353
