iter,time,reward,steps,convergence
1,0.0013935439999954724,-449.89,300.0,89.60108801
2,0.002690309999991314,-299.0,300.0,80.20108801
3,0.0037859949999941023,-702.91,299.77,70.80108801
4,0.0047151389999910975,-299.0,300.0,60.94425593766118
5,0.005542031999993924,-299.98,300.0,51.086995601397476
6,0.006343960999998899,-308.8,300.0,41.688876601397475
7,0.007187268999999219,-299.98,300.0,31.824601073223665
8,0.007999457999993353,-300.47,300.0,22.224591073223667
9,0.00885097299998705,-299.0,300.0,12.82593572992462
10,0.009692570999987993,-299.0,300.0,3.3862416246534375
11,0.01051296699998261,-299.0,300.0,3.205197731157162
12,0.011322761999977615,-301.03,300.0,2.9489710798713067
13,0.012118534999977726,-309.43,300.0,2.9485787928613076
14,0.012920805999975471,-306.65,300.0,3.4239926348716394
15,0.013759325999970429,-301.59,300.0,3.839531250570662
16,0.014595110999970018,-300.45,300.0,3.617994256523859
17,0.015423371999972346,-300.96,300.0,3.8620177325921192
18,0.016242399999974566,-299.0,300.0,4.062017732592119
19,0.017079894999973533,-341.32,300.0,3.8470821348583364
20,0.017901658999974757,-348.24,300.0,3.88665734912952
21,0.01872342299997598,-299.49,300.0,3.6070043935272116
22,0.019568782999975554,-303.5,300.0,3.4038530348130664
23,0.020399437999969905,-324.92,300.0,3.3468299151596996
24,0.021200341999971783,-300.16,300.0,3.1076770635470607
25,0.022022105999973007,-305.38,300.0,3.1485119185837083
26,0.02283942399997585,-312.43,300.0,3.1634147893019007
27,0.02364887699997098,-302.19,300.0,3.160824341522388
28,0.02446174999997197,-323.22,300.0,2.942760790597553
29,0.025272912999973585,-364.02,300.0,2.954264327491748
30,0.02608236599997582,-359.55,300.0,2.9300900658141456
31,0.026891476999971076,-364.71,300.0,3.32810938044346
32,0.02769580099997171,-300.96,300.0,3.8644560881578194
33,0.028390349999966702,-311.83,300.0,3.9228614948211855
34,0.029192278999971677,-334.59,300.0,3.7001057902784735
35,0.030066364999967732,-317.74,300.0,3.652981368796503
36,0.03088026399996835,-299.58,300.0,3.8541877341435344
37,0.031736908999967284,-358.62,299.19,3.6770302340285967
38,0.032556962999962025,-299.78,300.0,3.4209026193422702
39,0.03337017699996636,-425.43,300.0,3.142923957491246
40,0.03417997199996847,-341.51,300.0,2.7272296047013986
41,0.03501267899996208,-339.96,300.0,2.7887479703632723
42,0.03584230799996391,-326.02,300.0,2.802218448143828
43,0.03672323299996805,-393.53,300.0,2.8016187926480343
44,0.03754670599997212,-327.69,300.0,2.815129465042793
45,0.03835581599997795,-389.77,300.0,2.718225916034254
46,0.03914372399997745,-350.0,300.0,2.321772674015833
47,0.03995727999997456,-314.59,300.0,2.3245890185318103
48,0.040749633999972446,-341.41,300.0,2.7995721841429715
49,0.04154232999997731,-321.48,300.0,3.2974706312374984
50,0.04355826799997686,-430.83,300.0,3.283583667403618
51,0.04557317899998026,-326.71,300.0,3.683654826211014
52,0.04652352499998358,-311.37,300.0,3.505253866355928
53,0.04735246999998566,-381.44,300.0,3.5328341859593664
54,0.04817183999998775,-329.79,300.0,3.878137741555592
55,0.04898060899998313,-325.27,300.0,3.6190491499688497
56,0.04977535599998362,-299.29,300.0,4.049622704015884
57,0.0505677099999815,-353.7,300.0,4.2158848594053975
58,0.05136177399998587,-379.25,300.0,4.178924632227856
59,0.05218900899998857,-328.99,300.0,4.069704960487779
60,0.05296323899999322,-346.72,300.0,4.517998199656039
61,0.05375559299999111,-337.13,300.0,3.998905986591353
62,0.05459616499998532,-301.94,300.0,3.6357753942154063
63,0.05542750499999016,-303.44,300.0,3.158304196246916
64,0.056227040999985434,-351.67,300.0,2.832734246946485
65,0.05702144699998968,-302.74,300.0,2.7666939102737524
66,0.057822007999988045,-321.77,299.5,2.7259914169119694
67,0.058637957999991386,-359.87,300.0,2.547734238505995
68,0.05945595999999398,-324.26,300.0,2.5895612979727582
69,0.060239080999991756,-341.46,300.0,2.990948588607966
70,0.061023569999989036,-358.72,300.0,2.9807355061440903
71,0.06181010999998904,-367.69,300.0,2.974603946098928
72,0.06260998699998765,-390.34,300.0,3.006277481894149
73,0.06341875599998303,-390.14,300.0,3.2550938408764267
74,0.0642165809999824,-376.37,300.0,3.8941763486697156
75,0.06503663499998424,-304.39,300.0,4.486467484299373
76,0.06584984899998858,-364.16,300.0,4.24684540438871
77,0.06667366499998906,-353.9,300.0,4.293772838991849
78,0.06749200899999153,-313.97,300.0,4.265368183577803
79,0.06829975199999438,-310.1,300.0,3.8725705150202017
80,0.0691567389999932,-301.14,300.0,3.899808730964056
81,0.0699689269999979,-348.28,300.0,3.6371285527138966
82,0.07077769499999675,-366.7,300.0,3.6964385131025663
83,0.07159569699999224,-317.07,300.0,3.5318982555445104
84,0.07241404099999471,-330.01,300.0,3.293819020792978
85,0.0732142599999932,-299.0,300.0,2.713369164294695
86,0.07405106999998878,-315.06,300.0,2.495306136112281
87,0.07486120699999077,-305.68,299.79,2.850302031056402
88,0.07576949099998842,-326.0,300.0,2.8524006229298324
89,0.07654235199998283,-339.58,300.0,2.934210308210571
90,0.0773213689999821,-352.56,300.0,2.4742456922128375
91,0.07814381699998307,-320.69,300.0,2.421297539750362
92,0.0789276219999806,-327.7,300.0,2.3194293532589976
