iter,time,reward,steps,convergence
1,0.0008542510000211223,-715.25,298.7,93.51
2,0.0016281380000577883,-548.83,300.0,88.02000000000001
3,0.0023951860000579472,-592.09,299.74,80.73
4,0.003166680000049382,-583.89,300.0,70.83000000000001
5,0.003949458000022332,-535.82,299.67,65.34
6,0.0047719060000304125,-499.42,300.0,55.44000000000001
7,0.005547504000048775,-516.76,300.0,45.540000000000006
8,0.0063077120000230025,-313.58,300.0,37.526054621267555
9,0.007068946000060805,-310.25,300.0,27.626370416729515
10,0.007853777000036644,-299.49,300.0,17.726370444957162
11,0.00860954000000902,-299.0,300.0,13.316370444957363
12,0.009392319000028237,-299.0,300.0,8.906370444957382
13,0.010153554000055465,-299.0,300.0,6.296370445179292
14,0.0109192340000277,-299.0,300.0,6.328597755071587
15,0.011684231000060663,-299.0,300.0,1.918597755071616
16,0.012475217000087468,-299.0,300.0,1.9185977550716458
17,0.013237819000096351,-299.0,300.0,1.9185977550740305
18,0.01400486700009651,-299.0,300.0,0.03254313380662808
