iter,time,reward,steps,convergence
1,0.0008768220000092697,-625.12,299.32,93.51
2,0.0016660990000332276,-574.06,300.0,88.02000000000001
3,0.002451272000030258,-773.18,300.0,82.53
4,0.0032357600000523234,-361.98,300.0,77.04
5,0.004023326000037741,-305.78,300.0,67.1400002775605
6,0.004797213000074407,-339.23,299.75,57.240000280683056
7,0.005703444000062063,-328.16,300.0,47.34000028071452
8,0.0064657040000497545,-299.49,300.0,37.440000280714514
9,0.007150678000016342,-301.92,300.0,27.540000280720847
10,0.007905414999981986,-303.86,300.0,17.640000280721477
11,0.008690929000010783,-302.3,300.0,13.230003793057033
12,0.009450111000035122,-299.49,300.0,8.820003821288376
13,0.010251356000026135,-299.0,300.0,4.41000407588692
14,0.011025243000005958,-299.0,300.0,4.07588692041827e-06
