iter,time,reward,steps,convergence
1,0.0030165539999984503,-299.0,300.0,89.60099
2,0.0038164310000041723,-303.9,300.0,80.201948328
3,0.004631356000004416,-318.69,300.0,70.80194832800001
4,0.005433969000009142,-302.66,300.0,61.203829328000005
5,0.0062242720000114105,-299.98,300.0,51.60561023800001
6,0.006998502000001849,-299.49,300.0,42.03053043944268
7,0.007786752000001229,-354.04,300.0,32.44802990195146
8,0.00855482599999391,-299.0,300.0,23.04780217562375
9,0.009322215999986838,-343.92,300.0,13.669655799691004
10,0.01009097399997927,-299.0,300.0,4.089277340371703
11,0.010879908999982035,-299.18,300.0,3.8552692794128753
12,0.011659951999988039,-300.7,300.0,3.654006150395337
13,0.012429734999997777,-299.98,300.0,3.5980625153181536
14,0.013221404999995912,-303.64,300.0,3.574702269682285
15,0.014001790000008896,-319.93,300.0,3.5623269871476246
16,0.014779781000015646,-304.88,300.0,3.287562236676247
17,0.015568031000015026,-305.06,300.0,3.2831139754659198
18,0.01635970100001316,-301.45,300.0,3.284331701793621
19,0.01704946200000279,-335.55,300.0,3.0597440348776397
20,0.017832583000000568,-323.17,300.0,3.0355622003597853
21,0.01863348599999881,-324.18,300.0,3.2460971303946557
22,0.01946858599998791,-301.03,300.0,3.3897864211952347
23,0.0203136039999805,-363.68,300.0,3.269659204070912
24,0.02106594799998618,-300.47,300.0,3.261958844679242
25,0.02189968099997941,-318.65,300.0,3.364130956339527
26,0.022680065999978183,-302.03,300.0,3.36813333511749
27,0.023667002999985698,-389.44,300.0,3.59586610937336
28,0.024486030999980812,-394.17,300.0,3.368139083303388
29,0.02524931799997887,-372.78,300.0,3.3440394094776282
30,0.02606082299998036,-310.11,300.0,3.568371103084208
31,0.02683847199998013,-302.3,300.0,3.3566195373726218
32,0.027621592999977906,-311.76,300.0,3.913235047589582
33,0.028390691999973683,-308.48,300.0,3.643395973766342
34,0.02918954399997631,-299.98,300.0,3.9193364941644098
35,0.029994208999966077,-307.82,300.0,4.042386023199961
36,0.030803319999975542,-320.65,300.0,4.9882281934507
37,0.03162952899997151,-300.47,300.0,4.941663239845461
38,0.03243419399996128,-366.94,300.0,4.948600101631871
39,0.033280579999967586,-299.87,300.0,4.9898182322363995
40,0.03411704899995982,-310.01,300.0,4.921232323311208
41,0.03490974499996469,-357.58,300.0,4.839096445692642
42,0.03574210999997263,-306.09,300.0,3.877381451654567
43,0.03653343799997799,-327.62,300.0,4.311614828629964
44,0.03731211299997028,-362.66,300.0,4.053742746478515
45,0.0380853169999682,-329.18,300.0,3.847914957264963
46,0.038980604999963475,-327.64,300.0,2.890377487052652
47,0.03974491699996463,-305.29,300.0,2.8903336378427475
48,0.040508886999958804,-322.51,300.0,3.0012088339599914
49,0.041406568999960314,-356.21,299.59,2.9642232899097554
50,0.043296317999960365,-324.56,300.0,2.8472573274716866
51,0.04503149399997142,-305.53,300.0,3.163552693710632
