iter,time,reward,steps,convergence
1,0.0008980239999800688,-299.0,300.0,93.85038
2,0.0016883269999539152,-301.66,300.0,88.70075999999999
3,0.0024745259999576774,-500.72,300.0,81.45726284377926
4,0.0032692739999333753,-439.55,300.0,75.88235948867664
5,0.004069835999928273,-352.44,300.0,70.57073948867664
6,0.004872790999911558,-332.75,300.0,65.25608363945663
7,0.005649071999869193,-438.64,300.0,59.90477363945664
8,0.006413041999849156,-307.82,300.0,54.75209021945665
9,0.007179063999842583,-303.41,300.0,49.721642129135226
10,0.007985780999831604,-479.99,299.03,44.57409850733934
11,0.008775057999855562,-418.07,300.0,45.45619679013654
12,0.009573566999847571,-340.37,300.0,45.295816790136534
13,0.010390542999857644,-546.47,300.0,48.714334837945145
14,0.011208202999853256,-545.03,298.78,50.41892530141191
15,0.011981406999836963,-325.92,300.0,47.70263530141192
16,0.01277888999982224,-353.58,300.0,44.989381150631914
17,0.013551408999830983,-341.65,300.0,44.82867860863191
18,0.01431674699983887,-351.33,300.0,43.71750764835303
19,0.015094054999849504,-411.59,300.0,42.480281679611196
20,0.01586315399981686,-368.77,300.0,41.69710823810016
21,0.01662541399980455,-405.46,300.0,41.564643583117196
22,0.017407508999781385,-385.35,300.0,39.08920452777331
23,0.01819336499977453,-337.52,300.0,35.450358163677286
24,0.018975117999787017,-712.77,298.69,37.98332308545024
25,0.019742507999751524,-413.03,300.0,43.729551028515246
26,0.020514343999707307,-319.26,300.0,44.459446435295675
27,0.021291308999707326,-306.0,300.0,45.74392989094509
28,0.022068615999671692,-410.81,300.0,45.65649487618774
29,0.02284147799969105,-378.67,300.0,46.73766076130297
30,0.023611261999690214,-379.97,300.0,47.12995671473997
31,0.024395407999691088,-299.0,300.0,47.13543808007297
32,0.02517955399969196,-322.17,300.0,49.896777493724585
33,0.0259657519997063,-358.91,300.0,49.74919787573988
34,0.026742032999720777,-407.16,300.0,47.77925342264936
35,0.027222163999738314,-275.37,233.32,45.76763395623367
36,0.02798784399971055,-340.09,283.4,48.07349082246906
37,0.028760363999708716,-314.26,300.0,47.099210775931155
38,0.029560583999739265,-370.35,299.66,47.611666581609946
39,0.03014501799975733,-460.94,296.92,47.159882339149945
40,0.030910013999744024,-409.94,291.98,48.719631322169164
41,0.031247883999753867,-443.4,287.93,46.20999635807293
42,0.0320628089997399,-473.35,299.11,45.00046317656923
43,0.03284558799975912,-427.24,298.73,47.552107347692285
44,0.033610241999781465,-427.11,297.8,45.59328569109136
45,0.03437181799972677,-392.76,297.95,44.602680714406986
46,0.03520657699976937,-370.38,265.19,45.21907426823826
47,0.035506488999772046,-578.91,294.99,44.16074153260841
48,0.03598251699980892,-401.93,295.49,44.832852695040444
49,0.036503685999775826,-333.27,299.95,42.386545484872805
50,0.03857331399973418,-412.53,281.78,41.01390761172352
51,0.03944568999969533,-369.33,283.06,45.36706975642497
52,0.04023325599968075,-320.0,300.0,42.79743556936111
53,0.040612505999717996,-474.02,294.65,40.2243837247741
54,0.04138844599970071,-332.95,298.94,40.01551911972881
