iter,time,reward,steps,shape
2,0.013269278999999995,98.52,3.48,2
2,0.018545254999999983,95.78,6.22,3
3,0.03450963300000004,93.14,8.86,4
3,0.059112618000000006,90.48,11.52,5
3,0.14914516700000013,85.74,16.26,7
4,0.1702384720000003,76.65,25.35,10
6,0.605906987,63.34,38.66,15
7,1.4622764950000011,51.14,50.86,20
8,2.845104538000001,37.64,64.36,25
8,4.255641376,23.16,78.84,30
10,6.710356139000005,10.98,91.02,35
11,10.505832026,-3.85,105.85,40
13,19.70280979600001,-30.52,132.52,50
