iter,time,reward,steps,convergence
1,0.000886397000016359,-299.0,300.0,89.61
2,0.0016797770000209766,-329.56,300.0,80.240691
3,0.002472473000040054,-339.15,300.0,70.69041541719398
4,0.003237469000026749,-299.0,300.0,61.100415417193986
5,0.003981263000042645,-380.75,300.0,51.71599865741784
6,0.004760280000056127,-506.83,299.99,42.354341144703405
7,0.005558789000048137,-312.46,300.0,32.785613144703404
8,0.0064017560000309,-313.59,300.0,23.40745190940475
9,0.007191716000022552,-300.45,300.0,14.002527788514865
10,0.008131461000004947,-310.34,300.0,4.612527788514865
11,0.008921079999993253,-341.93,300.0,4.610491806514865
12,0.00970761999997194,-417.93,299.82,4.591780806514865
13,0.010485268999957498,-300.73,299.52,4.7520563893208845
14,0.01128206899994666,-308.41,300.0,4.972983133122885
15,0.012074080999951775,-336.18,300.0,4.770196882142153
16,0.012858910999938189,-519.62,300.0,4.558899564603981
17,0.013640663999922253,-314.88,300.0,4.710505058098602
18,0.01444327699994119,-301.03,300.0,4.698666293397244
19,0.015242812999957778,-303.28,300.0,4.756009925653716
20,0.01602866999996877,-648.37,300.0,4.743128149938608
21,0.0167960599999617,-307.82,300.0,4.7418916518371175
22,0.017574051999957874,-304.88,300.0,4.539299110533555
23,0.018371535999960997,-299.49,300.0,4.087277023672061
24,0.019187143999943146,-300.47,300.0,3.8502610783268976
25,0.019993518999939397,-299.47,300.0,3.820293415882169
26,0.020446292999935167,-319.54,300.0,4.003228246134784
27,0.021246512999937295,-305.67,300.0,4.040836652475053
28,0.02202860799994255,-373.21,300.0,4.0872022970068755
29,0.022823354999928824,-300.65,300.0,3.9390578000429373
30,0.02363691099992593,-308.6,300.0,3.8395994289399993
31,0.024421740999912345,-327.51,300.0,3.842620478372923
32,0.025194943999906627,-303.44,300.0,3.565917611257953
33,0.02596883099991487,-332.46,300.0,3.8809536913583527
34,0.026622685999939222,-299.87,300.0,4.052193677568728
35,0.027409568999928524,-345.75,300.0,4.24254727285126
36,0.028206368999946108,-303.84,300.0,4.097666824761672
37,0.02899701299995172,-612.16,300.0,4.229426092941227
38,0.029796205999957692,-335.79,300.0,4.145498644174479
39,0.030584797999949842,-309.71,300.0,3.7843568226342397
40,0.03136791899996183,-321.67,300.0,3.6618207570106422
41,0.0321537749999834,-350.48,300.0,3.647932228835799
42,0.03640519699999345,-354.21,300.0,3.9530280398786743
43,0.037196182999991834,-467.8,300.0,3.9314032113757875
44,0.03798067099998548,-323.5,300.0,3.9809958794357145
45,0.03879833100000951,-331.62,300.0,4.0353464152933
46,0.03958726600001228,-308.95,300.0,4.135119637695378
47,0.04037517400001889,-304.66,300.0,3.9906282440809306
48,0.0411764190000099,-317.22,300.0,3.6281900483158567
49,0.04197048300002848,-367.28,300.0,3.8526174493819325
50,0.043931704000016225,-360.45,300.0,4.12179571459976
51,0.04570210400001429,-373.54,300.0,4.12767073571023
52,0.04648454000002289,-717.95,300.0,4.2907661540636015
53,0.04725842700000271,-349.71,300.0,4.009805988024704
54,0.04807813900001179,-434.2,300.0,3.814273230107183
55,0.04886946700000294,-331.41,300.0,3.589741690403406
56,0.04964950900000531,-341.85,300.0,3.5234651257064526
57,0.05044494099999497,-299.0,300.0,3.506695456257643
58,0.051248237999999446,-384.73,299.69,3.6953005912710566
59,0.05203683100000944,-335.62,300.0,3.6502521512957515
60,0.05284286299999508,-311.18,300.0,3.638410522344998
61,0.05364376700001117,-380.31,300.0,3.483564252073873
62,0.05444569600001614,-316.49,300.0,3.4447253181384823
63,0.05522744900002863,-312.31,300.0,3.884187215568012
64,0.05601125300000831,-328.0,300.0,3.596187444262847
65,0.056791980000014064,-324.59,300.0,3.5366050438001593
