Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -6.299999999999994, 73
2, 64, -6.299999999999994, 47
3, 64, -6.299999999999994, 25
4, 64, -6.299999999999994, 31
5, 64, -9.89999999999999, 41
6, 64, -6.299999999999994, 37
7, 64, -6.299999999999994, 54
8, 64, -6.299999999999994, 60
9, 64, -17.100000000000005, 62
10, 64, -6.299999999999994, 58
11, 64, -6.299999999999994, 39
12, 64, -6.299999999999994, 46
13, 64, -7.199999999999994, 69
14, 64, -6.299999999999994, 61
15, 64, -9.199999999999994, 43
16, 64, -6.299999999999994, 42
17, 64, -21.50000000000002, 80
18, 64, -6.299999999999994, 57
19, 64, -15.799999999999994, 78
20, 64, -12.099999999999985, 58
21, 64, -9.09999999999999, 63
22, 64, -9.199999999999994, 60
23, 64, -6.299999999999994, 59
24, 64, -6.299999999999994, 44
25, 64, -11.999999999999982, 53
26, 64, -6.299999999999994, 43
27, 64, -6.299999999999994, 53
28, 64, -6.299999999999994, 56
29, 64, -6.299999999999994, 48
30, 64, -8.199999999999994, 41
31, 64, -6.299999999999994, 50
32, 64, -6.299999999999994, 57
33, 64, -6.299999999999994, 61
34, 64, -6.299999999999994, 66
35, 64, -6.299999999999994, 59
36, 64, -6.299999999999994, 58
37, 64, -6.299999999999994, 61
38, 64, -6.299999999999994, 71
39, 64, -7.199999999999991, 67
40, 64, -6.299999999999994, 69
41, 64, -6.299999999999994, 70
42, 64, -6.299999999999994, 88
43, 64, -6.299999999999994, 69
44, 64, -6.299999999999994, 76
45, 64, -6.299999999999994, 77
46, 64, -6.299999999999994, 84
47, 64, -8.099999999999994, 70
48, 64, -6.299999999999994, 73
49, 64, -6.299999999999994, 72
50, 62, -11.699999999999987, 74
51, 64, -6.299999999999994, 79
52, 64, -6.299999999999994, 75
53, 64, -6.299999999999994, 83
54, 64, -11.699999999999989, 99
55, 64, -6.299999999999994, 82
56, 64, -6.299999999999994, 100
57, 64, -10.099999999999982, 99
58, 64, -6.299999999999994, 81
59, 64, -6.299999999999994, 101
60, 64, -6.299999999999994, 87
61, 64, -6.299999999999994, 113
62, 64, -8.09999999999999, 86
63, 64, -30.6, 91
64, 64, -7.199999999999994, 92
65, 64, -6.299999999999994, 90
66, 64, -9.999999999999991, 88
67, 64, -10.899999999999988, 105
68, 64, -6.299999999999994, 95
69, 64, -6.299999999999994, 89
70, 64, -8.99999999999999, 91
71, 64, -6.299999999999994, 93
72, 64, -8.099999999999994, 85
73, 64, -6.299999999999994, 96
74, 64, -6.299999999999994, 112
75, 64, -6.299999999999994, 99
76, 64, -6.299999999999994, 107
77, 64, -6.299999999999994, 98
78, 64, -6.299999999999994, 104
79, 64, -6.299999999999994, 106
80, 64, -6.299999999999994, 105
81, 64, -6.299999999999994, 102
82, 64, -6.299999999999994, 105
83, 64, -18.400000000000013, 98
84, 64, -8.199999999999994, 93
85, 64, -6.299999999999994, 105
86, 64, -8.99999999999999, 98
87, 64, -6.299999999999994, 101
88, 64, -10.099999999999994, 105
89, 64, -6.299999999999994, 114
90, 64, -7.19999999999999, 108
91, 64, -9.999999999999988, 97
92, 64, -10.999999999999988, 117
93, 64, -7.199999999999994, 119
94, 64, -33.300000000000004, 109
95, 64, -6.299999999999994, 115
96, 64, -6.299999999999994, 112
97, 64, -8.999999999999995, 99
98, 64, -6.299999999999994, 104
99, 64, -8.099999999999985, 118
100, 64, -6.299999999999994, 108
101, 64, -6.299999999999994, 113
102, 64, -6.299999999999994, 107
103, 64, -6.299999999999994, 104
104, 64, -6.299999999999994, 119
105, 64, -7.199999999999994, 116
106, 64, -8.19999999999999, 110
107, 64, -6.299999999999994, 114
108, 54, -7.999999999999994, 111
109, 64, -6.299999999999994, 118
110, 64, -6.299999999999994, 123
111, 64, -6.299999999999994, 116
112, 64, -6.299999999999994, 119
113, 64, -6.299999999999994, 121
114, 62, -9.699999999999989, 138
115, 64, -6.299999999999994, 116
116, 64, -6.299999999999994, 112
117, 64, -6.299999999999994, 129
118, 64, -10.799999999999995, 117
