Episode, Steps, Reward, Time (in milliseconds)
187, 441, -45.80000000000035, 987
188, 441, -44.000000000000355, 951
189, 441, -44.000000000000355, 976
190, 441, -44.000000000000355, 987
191, 441, -56.60000000000055, 1027
192, 441, -46.900000000000354, 1014
193, 441, -49.80000000000046, 973
194, 441, -44.000000000000355, 1000
195, 441, -44.000000000000355, 966
196, 441, -44.90000000000037, 1031
197, 441, -44.000000000000355, 1017
198, 441, -44.900000000000354, 966
199, 441, -44.90000000000037, 1031
200, 441, -44.000000000000355, 1041
201, 441, -46.9000000000004, 1048
202, 441, -44.000000000000355, 1094
203, 441, -44.000000000000355, 994
204, 441, -46.900000000000354, 1062
205, 441, -44.000000000000355, 987
206, 441, -44.900000000000354, 1002
207, 441, -46.900000000000354, 1023
208, 441, -93.29999999999981, 1013
209, 441, -44.000000000000355, 1004
210, 441, -58.50000000000053, 1056
211, 441, -79.99999999999935, 1053
212, 441, -44.90000000000037, 1028
213, 441, -44.000000000000355, 1051
214, 441, -44.000000000000355, 1040
215, 441, -49.80000000000035, 1048
216, 441, -44.000000000000355, 1047
217, 441, -44.000000000000355, 1068
218, 441, -44.90000000000037, 1097
219, 441, -44.000000000000355, 1046
220, 441, -49.8000000000004, 1079
221, 441, -44.90000000000037, 1089
222, 441, -44.000000000000355, 1060
223, 441, -44.90000000000037, 1051
224, 441, -44.000000000000355, 1057
225, 441, -44.900000000000354, 1069
226, 441, -44.90000000000037, 1064
227, 441, -44.000000000000355, 1077
228, 441, -45.80000000000037, 1079
229, 441, -46.900000000000404, 1055
230, 441, -44.000000000000355, 1035
231, 441, -44.90000000000037, 1131
232, 441, -46.900000000000404, 1103
233, 441, -44.000000000000355, 1055
234, 441, -47.60000000000035, 1069
235, 441, -44.000000000000355, 1072
236, 441, -44.000000000000355, 1089
237, 441, -44.000000000000355, 1074
238, 441, -46.90000000000037, 1181
239, 441, -44.90000000000037, 1047
240, 441, -44.000000000000355, 1124
241, 441, -80.5999999999994, 1072
242, 441, -44.000000000000355, 1071
243, 441, -44.000000000000355, 1064
244, 441, -44.90000000000037, 1070
245, 441, -45.80000000000039, 1080
246, 441, -44.000000000000355, 1091
247, 441, -50.300000000000345, 1095
248, 441, -44.000000000000355, 1098
249, 441, -44.000000000000355, 1124
250, 441, -45.80000000000037, 1136
251, 441, -44.000000000000355, 1172
252, 441, -44.000000000000355, 1132
253, 441, -74.79999999999973, 1138
254, 441, -44.000000000000355, 1132
255, 441, -44.90000000000037, 1164
256, 441, -46.900000000000404, 1114
257, 441, -44.90000000000037, 1132
258, 441, -48.70000000000043, 1110
259, 441, -46.70000000000035, 1147
260, 441, -44.000000000000355, 1183
261, 441, -68.30000000000001, 1159
262, 441, -46.900000000000404, 1144
263, 441, -44.90000000000037, 1215
264, 441, -49.80000000000046, 1201
265, 441, -44.000000000000355, 1133
266, 441, -44.000000000000355, 1172
267, 441, -47.60000000000041, 1127
268, 441, -46.900000000000404, 1181
269, 441, -44.000000000000355, 1154
270, 441, -44.000000000000355, 1116
271, 441, -49.800000000000445, 1172
272, 441, -44.000000000000355, 1139
273, 441, -49.80000000000035, 1192
274, 441, -44.000000000000355, 1113
275, 441, -44.90000000000037, 1181
