Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -11.799999999999992, 123
2, 64, -7.1999999999999895, 32
3, 64, -6.299999999999994, 37
4, 64, -6.299999999999994, 31
5, 64, -6.299999999999994, 27
6, 64, -6.299999999999994, 50
7, 64, -6.299999999999994, 18
8, 64, -6.299999999999994, 30
9, 64, -6.299999999999994, 46
10, 64, -10.999999999999991, 36
11, 64, -6.299999999999994, 26
12, 64, -8.099999999999994, 34
13, 64, -6.299999999999994, 45
14, 64, -6.299999999999994, 39
15, 64, -6.299999999999994, 52
16, 64, -6.299999999999994, 42
17, 64, -6.299999999999994, 23
18, 64, -7.199999999999994, 25
19, 64, -6.299999999999994, 76
20, 64, -13.49999999999999, 48
21, 64, -8.999999999999988, 36
22, 64, -6.299999999999994, 41
23, 64, -6.299999999999994, 33
24, 64, -6.299999999999994, 41
25, 64, -23.400000000000063, 42
26, 64, -9.099999999999982, 51
27, 64, -6.299999999999994, 37
28, 64, -6.299999999999994, 46
29, 64, -8.999999999999991, 48
30, 64, -7.199999999999994, 56
31, 64, -8.09999999999999, 32
32, 25, -7.099999999999996, 46
33, 51, -11.599999999999996, 25
34, 37, -5.4, 33
35, 29, -9.499999999999998, 37
36, 64, -6.299999999999994, 35
37, 47, -8.199999999999994, 36
38, 64, -12.99999999999999, 58
39, 64, -6.299999999999994, 34
40, 64, -6.299999999999994, 34
41, 64, -7.19999999999999, 45
42, 64, -12.89999999999999, 55
43, 38, -12.899999999999997, 43
44, 64, -18.100000000000016, 39
45, 43, -6.899999999999998, 34
46, 64, -19.800000000000008, 39
47, 50, -10.399999999999993, 47
48, 64, -7.199999999999994, 39
49, 64, -6.299999999999994, 29
50, 47, -15.59999999999999, 50
51, 64, -7.199999999999994, 54
52, 64, -6.299999999999994, 57
53, 61, -8.699999999999987, 37
54, 39, -7.399999999999997, 40
55, 64, -6.299999999999994, 50
56, 40, -6.599999999999998, 42
57, 64, -6.299999999999994, 46
58, 64, -6.299999999999994, 53
59, 64, -6.299999999999994, 43
60, 64, -6.299999999999994, 48
61, 64, -14.699999999999987, 54
62, 64, -13.899999999999986, 41
63, 64, -6.299999999999994, 46
64, 51, -11.299999999999992, 49
65, 64, -8.099999999999994, 52
66, 64, -13.599999999999989, 41
67, 64, -11.99999999999999, 71
68, 64, -7.199999999999994, 36
69, 64, -6.299999999999994, 74
70, 64, -6.299999999999994, 35
71, 64, -13.899999999999986, 50
72, 64, -6.299999999999994, 68
73, 60, -10.499999999999993, 49
74, 40, -10.399999999999995, 53
75, 64, -18.600000000000016, 52
76, 20, -4.699999999999999, 53
77, 52, -12.499999999999991, 57
78, 27, -9.099999999999998, 53
79, 64, -10.899999999999986, 65
80, 64, -8.099999999999989, 52
81, 64, -11.69999999999999, 44
82, 64, -6.299999999999994, 62
83, 63, -18.70000000000001, 68
84, 64, -10.999999999999995, 49
85, 64, -7.199999999999994, 65
86, 64, -6.299999999999994, 54
87, 64, -7.199999999999994, 62
88, 64, -6.299999999999994, 49
89, 64, -6.299999999999994, 55
90, 64, -9.899999999999988, 62
91, 24, -4.1000000000000005, 58
92, 64, -10.099999999999994, 52
93, 64, -8.199999999999994, 49
94, 64, -9.999999999999993, 71
95, 64, -6.299999999999994, 48
96, 64, -6.299999999999994, 88
97, 33, -5.0, 48
98, 64, -6.299999999999994, 68
99, 56, -11.099999999999998, 51
100, 64, -12.699999999999996, 81
101, 64, -17.399999999999995, 65
102, 34, -6.0, 78
103, 40, -10.499999999999998, 68
104, 64, -6.299999999999994, 50
105, 35, -7.099999999999997, 65
106, 64, -9.099999999999984, 69
107, 45, -9.999999999999998, 63
108, 64, -15.799999999999994, 79
109, 64, -12.699999999999983, 60
110, 64, -6.299999999999994, 72
111, 64, -8.099999999999987, 61
112, 64, -14.499999999999986, 71
113, 64, -6.299999999999994, 87
114, 38, -6.499999999999999, 78
115, 23, -5.9, 73
116, 56, -7.299999999999993, 68
117, 64, -8.099999999999994, 87
118, 64, -6.299999999999994, 76
119, 23, -4.000000000000001, 69
120, 44, -13.699999999999996, 79
121, 64, -8.199999999999994, 66
122, 64, -6.299999999999994, 68
123, 64, -6.299999999999994, 63
124, 64, -8.999999999999986, 61
125, 50, -14.799999999999994, 63
126, 64, -7.199999999999994, 59
127, 64, -10.099999999999994, 65
128, 20, -3.7000000000000006, 59
129, 64, -9.99999999999999, 78
130, 38, -6.5, 61
131, 63, -9.799999999999988, 65
132, 64, -10.099999999999989, 73
133, 64, -8.999999999999988, 89
134, 64, -8.09999999999999, 74
135, 64, -6.299999999999994, 81
136, 64, -6.299999999999994, 115
137, 64, -6.299999999999994, 72
138, 64, -14.59999999999999, 77
139, 64, -30.600000000000016, 95
140, 63, -10.899999999999995, 85
141, 21, -6.6999999999999975, 100
142, 64, -8.099999999999994, 96
143, 62, -9.699999999999992, 78
144, 64, -15.499999999999988, 87
145, 64, -7.1999999999999895, 66
146, 64, -11.999999999999988, 63
147, 64, -10.999999999999991, 88
148, 50, -7.599999999999999, 77
149, 64, -15.599999999999987, 85
150, 57, -13.89999999999999, 58
151, 64, -6.299999999999994, 79
152, 64, -8.099999999999987, 101
153, 64, -6.299999999999994, 95
154, 51, -6.799999999999999, 76
155, 64, -6.299999999999994, 80
156, 26, -4.3, 84
157, 61, -7.799999999999992, 71
158, 64, -10.999999999999984, 73
159, 41, -7.599999999999994, 85
160, 64, -14.799999999999988, 90
161, 64, -8.099999999999994, 96
162, 62, -19.900000000000006, 73
163, 48, -10.099999999999996, 67
164, 64, -6.299999999999994, 79
165, 64, -13.899999999999984, 97
166, 33, -6.899999999999999, 92
167, 64, -6.299999999999994, 98
168, 64, -6.299999999999994, 71
169, 32, -5.9, 79
170, 19, -3.6000000000000005, 116
171, 27, -5.3, 94
172, 64, -8.999999999999993, 91
173, 58, -12.999999999999991, 101
174, 64, -11.999999999999982, 123
175, 64, -8.199999999999987, 92
176, 42, -8.799999999999992, 99
177, 42, -9.7, 97
178, 64, -6.299999999999994, 131
179, 64, -6.299999999999994, 74
180, 43, -5.999999999999998, 92
181, 64, -12.79999999999999, 98
182, 64, -6.299999999999994, 101
183, 64, -6.299999999999994, 93
184, 64, -16.8, 80
185, 64, -6.299999999999994, 97
186, 64, -6.299999999999994, 79
187, 64, -8.099999999999987, 106
188, 64, -9.999999999999991, 103
189, 34, -8.999999999999995, 87
190, 64, -7.199999999999991, 101
191, 56, -7.299999999999997, 91
192, 64, -6.299999999999994, 93
193, 37, -5.3999999999999995, 108
194, 64, -8.099999999999994, 116
195, 64, -8.199999999999994, 85
196, 41, -9.69999999999999, 109
197, 62, -17.19999999999999, 91
198, 64, -7.1999999999999895, 120
199, 22, -4.9, 138
200, 29, -4.6, 131
201, 20, -4.6, 100
202, 64, -6.299999999999994, 108
203, 64, -6.299999999999994, 110
204, 64, -6.299999999999994, 136
205, 64, -9.19999999999999, 103
206, 64, -10.099999999999985, 106
207, 64, -6.299999999999994, 91
208, 64, -6.299999999999994, 136
209, 64, -13.699999999999996, 83
210, 64, -6.299999999999994, 116
211, 64, -9.199999999999985, 102
212, 64, -11.899999999999984, 97
213, 40, -7.599999999999998, 111
214, 64, -6.299999999999994, 97
215, 64, -6.299999999999994, 121
216, 64, -9.999999999999995, 124
217, 64, -14.699999999999989, 108
218, 64, -6.299999999999994, 99
219, 35, -12.599999999999996, 97
220, 64, -6.299999999999994, 95
221, 64, -6.299999999999994, 99
222, 64, -10.099999999999989, 110
223, 64, -6.299999999999994, 107
224, 64, -10.799999999999994, 81
225, 64, -6.299999999999994, 112
226, 64, -8.099999999999994, 125
227, 64, -7.1999999999999895, 95
228, 64, -8.099999999999989, 89
229, 64, -12.699999999999989, 98
230, 44, -8.899999999999991, 107
231, 64, -6.299999999999994, 134
232, 64, -6.299999999999994, 111
233, 64, -6.299999999999994, 117
234, 21, -3.8000000000000007, 142
235, 64, -6.299999999999994, 136
236, 64, -6.299999999999994, 105
237, 30, -6.6000000000000005, 91
238, 64, -13.899999999999988, 99
239, 57, -11.299999999999997, 123
240, 23, -6.799999999999999, 88
241, 64, -6.299999999999994, 97
242, 64, -21.500000000000036, 109
243, 64, -8.999999999999993, 140
244, 64, -17.30000000000001, 124
245, 22, -4.799999999999999, 126
246, 23, -5.9, 114
247, 64, -6.299999999999994, 136
248, 64, -8.09999999999999, 109
249, 64, -6.299999999999994, 98
250, 30, -7.499999999999998, 98
251, 64, -6.299999999999994, 107
252, 51, -8.699999999999996, 118
253, 57, -15.699999999999996, 128
254, 64, -11.699999999999987, 140
255, 49, -11.399999999999995, 148
256, 64, -7.1999999999999895, 93
257, 27, -9.199999999999996, 90
258, 64, -6.299999999999994, 106
259, 64, -7.19999999999999, 134
260, 64, -17.699999999999996, 161
261, 64, -6.299999999999994, 121
262, 64, -11.799999999999986, 135
263, 21, -3.8000000000000007, 135
264, 64, -6.299999999999994, 107
265, 36, -9.199999999999992, 114
266, 64, -6.299999999999994, 105
267, 38, -7.3999999999999995, 108
268, 64, -7.199999999999994, 168
269, 64, -15.899999999999995, 118
270, 64, -8.099999999999993, 145
271, 33, -9.699999999999994, 100
272, 27, -9.099999999999996, 131
273, 64, -20.500000000000014, 129
274, 64, -6.299999999999994, 135
275, 53, -6.9999999999999964, 142
276, 64, -6.299999999999994, 121
277, 64, -6.299999999999994, 135
278, 64, -6.299999999999994, 138
279, 64, -12.899999999999983, 140
280, 64, -6.299999999999994, 146
281, 31, -9.699999999999998, 107
282, 64, -12.599999999999989, 131
283, 21, -3.8000000000000007, 200
284, 64, -10.099999999999984, 162
285, 64, -47.10000000000005, 104
286, 64, -8.999999999999995, 132
287, 64, -10.799999999999992, 162
288, 26, -5.199999999999999, 143
289, 54, -11.699999999999994, 140
290, 57, -8.299999999999997, 149
291, 22, -3.9000000000000004, 161
292, 64, -7.199999999999994, 116
293, 64, -7.19999999999999, 122
294, 64, -6.299999999999994, 107
295, 64, -6.299999999999994, 99
296, 64, -6.299999999999994, 117
297, 64, -7.199999999999994, 130
298, 64, -6.299999999999994, 137
299, 64, -11.999999999999982, 140
300, 57, -11.199999999999994, 127
301, 64, -6.299999999999994, 136
302, 64, -16.29999999999999, 114
303, 64, -6.299999999999994, 141
304, 64, -8.999999999999991, 132
305, 64, -6.299999999999994, 150
306, 64, -34.70000000000005, 117
307, 64, -7.199999999999994, 146
