Num generated: 736; num unique: 47
Episode, Steps, Reward, Time (in milliseconds)
1, 64, -6.299999999999994, 101
2, 64, -8.199999999999994, 19
3, 64, -6.299999999999994, 45
4, 64, -6.299999999999994, 61
5, 64, -6.299999999999994, 28
6, 64, -6.299999999999994, 35
7, 64, -6.299999999999994, 80
8, 64, -6.299999999999994, 53
9, 64, -6.299999999999994, 59
10, 64, -6.299999999999994, 60
11, 64, -6.299999999999994, 49
12, 64, -6.299999999999994, 60
13, 64, -6.299999999999994, 48
14, 64, -8.099999999999994, 64
15, 64, -6.299999999999994, 74
16, 64, -6.299999999999994, 61
17, 64, -6.299999999999994, 64
18, 64, -6.299999999999994, 82
19, 64, -6.299999999999994, 78
20, 64, -7.199999999999994, 93
21, 64, -6.299999999999994, 59
22, 64, -6.299999999999994, 52
23, 64, -6.299999999999994, 62
24, 64, -6.299999999999994, 51
25, 64, -6.299999999999994, 61
26, 64, -6.299999999999994, 42
27, 64, -6.299999999999994, 55
28, 64, -9.999999999999991, 64
29, 64, -8.199999999999994, 52
30, 64, -6.299999999999994, 53
31, 64, -6.299999999999994, 56
32, 64, -6.299999999999994, 44
33, 64, -6.299999999999994, 68
34, 64, -6.299999999999994, 54
35, 64, -6.299999999999994, 62
36, 64, -6.299999999999994, 58
37, 64, -6.299999999999994, 61
38, 64, -7.199999999999994, 57
39, 64, -8.199999999999994, 76
40, 64, -6.299999999999994, 62
41, 64, -6.299999999999994, 61
42, 64, -6.299999999999994, 84
43, 64, -6.299999999999994, 60
44, 64, -6.299999999999994, 69
45, 64, -6.299999999999994, 69
46, 64, -7.1999999999999895, 68
47, 64, -6.299999999999994, 67
48, 64, -6.299999999999994, 58
49, 64, -20.8, 66
50, 64, -6.299999999999994, 75
51, 64, -6.299999999999994, 70
52, 64, -6.299999999999994, 76
53, 64, -18.6, 75
54, 64, -6.299999999999994, 68
55, 64, -6.299999999999994, 69
56, 64, -6.299999999999994, 80
57, 64, -6.299999999999994, 80
58, 46, -7.199999999999997, 77
59, 64, -9.199999999999994, 88
60, 64, -6.299999999999994, 85
61, 64, -6.299999999999994, 74
62, 64, -7.199999999999994, 76
63, 64, -10.899999999999991, 74
64, 64, -6.299999999999994, 90
65, 64, -6.299999999999994, 87
66, 64, -6.299999999999994, 79
67, 64, -6.299999999999994, 82
68, 64, -6.299999999999994, 80
69, 64, -12.899999999999986, 82
70, 64, -6.299999999999994, 83
71, 64, -8.099999999999987, 89
72, 64, -6.299999999999994, 86
73, 64, -6.299999999999994, 88
74, 64, -22.6, 85
75, 64, -6.299999999999994, 89
76, 64, -7.199999999999994, 84
77, 64, -6.299999999999994, 79
78, 64, -6.299999999999994, 87
79, 64, -13.49999999999999, 87
80, 64, -6.299999999999994, 90
81, 64, -6.299999999999994, 96
82, 64, -6.299999999999994, 88
83, 64, -8.199999999999985, 95
84, 64, -6.299999999999994, 97
85, 64, -8.099999999999994, 101
86, 64, -6.299999999999994, 92
87, 64, -7.199999999999994, 101
88, 64, -9.199999999999987, 95
89, 64, -9.899999999999995, 99
90, 64, -6.299999999999994, 105
91, 64, -6.299999999999994, 99
92, 64, -8.09999999999999, 97
93, 64, -6.299999999999994, 93
94, 64, -7.199999999999994, 99
95, 64, -6.299999999999994, 101
96, 64, -6.299999999999994, 99
97, 64, -6.299999999999994, 100
98, 64, -6.299999999999994, 99
99, 64, -6.299999999999994, 114
100, 64, -11.999999999999986, 105
101, 64, -6.299999999999994, 106
102, 64, -6.299999999999994, 98
103, 64, -6.299999999999994, 96
104, 64, -7.199999999999994, 106
105, 64, -6.299999999999994, 108
106, 64, -6.299999999999994, 102
107, 64, -15.799999999999994, 99
108, 64, -6.299999999999994, 113
109, 64, -6.299999999999994, 110
110, 64, -8.099999999999994, 105
111, 64, -10.099999999999994, 111
112, 64, -21.00000000000003, 112
113, 64, -8.099999999999993, 115
114, 64, -6.299999999999994, 112
115, 64, -6.299999999999994, 110
116, 64, -6.299999999999994, 109
117, 64, -6.299999999999994, 116
118, 64, -6.299999999999994, 116
119, 64, -7.199999999999994, 112
120, 64, -6.299999999999994, 99
121, 64, -6.299999999999994, 120
122, 64, -6.299999999999994, 99
123, 64, -6.299999999999994, 109
124, 64, -6.299999999999994, 118
125, 64, -7.199999999999994, 107
126, 64, -6.299999999999994, 108
127, 64, -10.099999999999994, 110
128, 40, -5.699999999999998, 110
129, 64, -6.299999999999994, 110
130, 64, -22.59999999999999, 104
131, 64, -6.299999999999994, 115
132, 64, -14.79999999999999, 122
133, 64, -6.299999999999994, 108
134, 64, -7.199999999999994, 110
135, 64, -6.299999999999994, 123
136, 64, -6.299999999999994, 110
137, 64, -10.799999999999986, 107
138, 51, -7.699999999999998, 126
139, 64, -6.299999999999994, 111
140, 64, -6.299999999999994, 112
141, 64, -6.299999999999994, 118
142, 49, -8.599999999999994, 116
143, 64, -6.299999999999994, 117
144, 64, -8.999999999999995, 126
145, 64, -12.999999999999995, 121
146, 64, -6.299999999999994, 114
